13:49:06.243 [main] INFO  resources.Log - Selected First carrier which is: 9mobile Nigeria
13:49:13.177 [main] INFO  resources.Log - ----------Sucessfully Redirected to the Page Privacy policy-----------
13:49:13.179 [main] INFO  resources.Log - XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX
13:49:13.179 [main] INFO  resources.Log - X
13:49:13.179 [main] INFO  resources.Log - X
13:49:13.179 [main] INFO  resources.Log - X
13:49:13.179 [main] INFO  resources.Log - X
13:49:13.180 [main] INFO  resources.Log - Listener OnTestStart method verifyRBMTPoliciesPage
13:49:13.180 [main] INFO  resources.Log - ****************************************************************************************
13:49:13.180 [main] INFO  resources.Log - ****************************************************************************************
13:49:13.180 [main] INFO  resources.Log - $$$$$$$$$$$$$$$$$$$$$                 verifyRBMTPoliciesPage       $$$$$$$$$$$$$$$$$$$$$$$$$
13:49:13.180 [main] INFO  resources.Log - ****************************************************************************************
13:49:13.180 [main] INFO  resources.Log - ****************************************************************************************
13:49:13.181 [main] INFO  resources.Log - Reading the Property file
13:49:13.181 [main] INFO  resources.Log - The Value of the DashboardURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/dashboard
13:49:14.142 [main] INFO  resources.Log - Clicked on Create New RCS BOT button
13:49:14.146 [main] INFO  resources.Log - Reading the Property file
13:49:14.146 [main] INFO  resources.Log - The Value of the RcsBotDetailsURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/create-bot/rcs-bot-details
13:49:14.146 [main] INFO  resources.Log - -----------Sucessfully Entered RCS BOT DETAILs page--------
13:49:14.813 [main] INFO  resources.Log - Reading the Property file
13:49:14.813 [main] INFO  resources.Log - The Value of the RBMPolicies Fetched from the Properties: https://stagingpartners.dotgo.com/rbm-policies
13:49:14.876 [main] INFO  resources.Log - Sucessfully Redirected to the RBMPolices page
13:49:14.877 [main] INFO  resources.Log - XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX
13:49:14.877 [main] INFO  resources.Log - X
13:49:14.877 [main] INFO  resources.Log - X
13:49:14.877 [main] INFO  resources.Log - X
13:49:14.877 [main] INFO  resources.Log - X
13:49:14.878 [main] INFO  resources.Log - Listener OnTestStart method verifyRBMTermsPage
13:49:14.878 [main] INFO  resources.Log - ****************************************************************************************
13:49:14.878 [main] INFO  resources.Log - ****************************************************************************************
13:49:14.878 [main] INFO  resources.Log - $$$$$$$$$$$$$$$$$$$$$                 verifyRBMTermsPage       $$$$$$$$$$$$$$$$$$$$$$$$$
13:49:14.879 [main] INFO  resources.Log - ****************************************************************************************
13:49:14.879 [main] INFO  resources.Log - ****************************************************************************************
13:49:14.879 [main] INFO  resources.Log - Reading the Property file
13:49:14.879 [main] INFO  resources.Log - The Value of the DashboardURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/dashboard
13:49:15.876 [main] INFO  resources.Log - Clicked on Create New RCS BOT button
13:49:15.880 [main] INFO  resources.Log - Reading the Property file
13:49:15.880 [main] INFO  resources.Log - The Value of the RcsBotDetailsURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/create-bot/rcs-bot-details
13:49:15.880 [main] INFO  resources.Log - -----------Sucessfully Entered RCS BOT DETAILs page--------
13:49:16.567 [main] INFO  resources.Log - Reading the Property file
13:49:16.568 [main] INFO  resources.Log - The Value of the RBMTerms Fetched from the Properties: https://stagingpartners.dotgo.com/rbm-terms
13:49:16.625 [main] INFO  resources.Log - Sucessfully Redirected to the RBM Terms policy
13:49:16.625 [main] INFO  resources.Log - XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX
13:49:16.625 [main] INFO  resources.Log - X
13:49:16.625 [main] INFO  resources.Log - X
13:49:16.625 [main] INFO  resources.Log - X
13:49:16.625 [main] INFO  resources.Log - X
13:49:16.626 [main] INFO  resources.Log - Listener OnTestStart method verifyTermsofServicePage
13:49:16.626 [main] INFO  resources.Log - ****************************************************************************************
13:49:16.626 [main] INFO  resources.Log - ****************************************************************************************
13:49:16.626 [main] INFO  resources.Log - $$$$$$$$$$$$$$$$$$$$$                 verifyTermsofServicePage       $$$$$$$$$$$$$$$$$$$$$$$$$
13:49:16.626 [main] INFO  resources.Log - ****************************************************************************************
13:49:16.626 [main] INFO  resources.Log - ****************************************************************************************
13:49:16.626 [main] INFO  resources.Log - Reading the Property file
13:49:16.626 [main] INFO  resources.Log - The Value of the DashboardURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/dashboard
13:49:17.615 [main] INFO  resources.Log - Clicked on Create New RCS BOT button
13:49:17.622 [main] INFO  resources.Log - Reading the Property file
13:49:17.622 [main] INFO  resources.Log - The Value of the RcsBotDetailsURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/create-bot/rcs-bot-details
13:49:17.622 [main] INFO  resources.Log - -----------Sucessfully Entered RCS BOT DETAILs page--------
13:49:18.313 [main] INFO  resources.Log - Reading the Property file
13:49:18.313 [main] INFO  resources.Log - The Value of the TermsofService Fetched from the Properties: https://stagingpartners.dotgo.com/developer-tos
13:49:18.374 [main] INFO  resources.Log - --------Sucessfully Redirected to the Terms of Service policy---------
13:49:18.375 [main] INFO  resources.Log - XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX
13:49:18.375 [main] INFO  resources.Log - X
13:49:18.375 [main] INFO  resources.Log - X
13:49:18.375 [main] INFO  resources.Log - X
13:49:18.375 [main] INFO  resources.Log - X
13:49:18.377 [main] INFO  resources.Log - Listener OnTestStart method clickOnSubmitforListing
13:49:18.377 [main] INFO  resources.Log - ****************************************************************************************
13:49:18.377 [main] INFO  resources.Log - ****************************************************************************************
13:49:18.377 [main] INFO  resources.Log - $$$$$$$$$$$$$$$$$$$$$                 clickOnSubmitforListing       $$$$$$$$$$$$$$$$$$$$$$$$$
13:49:18.378 [main] INFO  resources.Log - ****************************************************************************************
13:49:18.378 [main] INFO  resources.Log - ****************************************************************************************
13:49:18.378 [main] INFO  resources.Log - Reading the Property file
13:49:18.378 [main] INFO  resources.Log - The Value of the DashboardURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/dashboard
13:49:19.442 [main] INFO  resources.Log - Entering Dashboard Page
13:49:20.468 [main] INFO  resources.Log - scrolled Down
13:49:20.585 [main] INFO  resources.Log - clicked on Click Here Button
13:49:20.589 [main] INFO  resources.Log - Reading the Property file
13:49:20.590 [main] INFO  resources.Log - The Value of the WhatsappBotDetailsPage Fetched from the Properties: https://stagingpartners.dotgo.com/developer/create-bot/whatsapp-bot-details
13:49:20.590 [main] INFO  resources.Log - ----Successfully Redirected to WhatsAppBotDetail Page
13:49:20.591 [main] INFO  resources.Log - Reading the Property file
13:49:20.591 [main] INFO  resources.Log - The Value of the WhatsappBotName Fetched from the Properties: TestWhatsappBOT
13:49:20.661 [main] INFO  resources.Log - Enter the BOt Name
13:49:20.661 [main] INFO  resources.Log - Reading the Property file
13:49:20.661 [main] INFO  resources.Log - The Value of the WhatsappBotBrandName Fetched from the Properties: TestWhatsappBrand
13:49:20.845 [main] INFO  resources.Log - Enter the Brand Name
13:49:20.845 [main] INFO  resources.Log - Reading the Property file
13:49:20.845 [main] INFO  resources.Log - The Value of the WhatsappBotBrandWebsite Fetched from the Properties: https://stagingpartners2.dotgo.com/
13:49:20.930 [main] INFO  resources.Log - Enter the WhatsappBotBrandWebsite URL
13:49:21.005 [main] INFO  resources.Log - Clicked on UPload BOT logo
13:49:21.085 [main] INFO  resources.Log - Added Image for the Bot LOGO
13:49:21.520 [main] INFO  resources.Log - Cropped Image to the 224 pixels Wide x 224 pixels Tall
13:49:21.561 [main] INFO  resources.Log - Clicked on select Button
13:49:21.606 [main] INFO  resources.Log - Uploaded Screeshot
13:49:23.606 [main] INFO  resources.Log - Reading the Property file
13:49:23.607 [main] INFO  resources.Log - The Value of the WhatsappBotShortDesc Fetched from the Properties: navigates to the specified website URL.
13:49:23.722 [main] INFO  resources.Log - Entered Short Description
13:49:23.722 [main] INFO  resources.Log - Reading the Property file
13:49:23.722 [main] INFO  resources.Log - The Value of the WhatsappBotLongDesc Fetched from the Properties: navigates to the specified website URL. Once the website loads, the browser window is vertically scrolled down by 350 pixels.
13:49:23.876 [main] INFO  resources.Log - Entered Long Description
13:49:23.876 [main] INFO  resources.Log - Reading the Property file
13:49:23.876 [main] INFO  resources.Log - The Value of the WhatsappBotWebsiteURL Fetched from the Properties: https://www.browserstack.com
13:49:23.942 [main] INFO  resources.Log - Entered WhatsappBotWEbsite URL
13:49:23.942 [main] INFO  resources.Log - Reading the Property file
13:49:23.942 [main] INFO  resources.Log - The Value of the WhatsappBotDevelopedBy Fetched from the Properties: Automation
13:49:24.005 [main] INFO  resources.Log - Entered the WhatsappBot Developed BY
13:49:24.005 [main] INFO  resources.Log - Reading the Property file
13:49:24.005 [main] INFO  resources.Log - The Value of the WhatsappBotSupportEmail Fetched from the Properties: Test@gamil.com
13:49:24.125 [main] INFO  resources.Log - Entered WhatsappBot Support Email
13:49:24.184 [main] INFO  resources.Log - Selected country code as India
13:49:24.185 [main] INFO  resources.Log - Reading the Property file
13:49:24.185 [main] INFO  resources.Log - The Value of the WhatsappBotPhNumber Fetched from the Properties: 8147573441
13:49:24.289 [main] INFO  resources.Log - Entered Whatsapp Phone NUmber
13:49:24.289 [main] INFO  resources.Log - Reading the Property file
13:49:24.289 [main] INFO  resources.Log - The Value of the WhatsappBotlaunchDate Fetched from the Properties: 19/10/2022
13:49:24.356 [main] INFO  resources.Log - Entered WhatsappBOt lanuch Date
13:49:24.356 [main] INFO  resources.Log - Reading the Property file
13:49:24.356 [main] INFO  resources.Log - The Value of the WhatsappBotTermsofURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer-tos
13:49:24.502 [main] INFO  resources.Log - Entered Whatsapp Terms of URL
13:49:24.502 [main] INFO  resources.Log - Reading the Property file
13:49:24.502 [main] INFO  resources.Log - The Value of the WhatsappBotPrivacypolicy Fetched from the Properties: https://stagingpartners.dotgo.com/developer-pp
13:49:24.594 [main] INFO  resources.Log - Entered privacy policy
13:49:24.706 [main] INFO  resources.Log - Clicked on Next Button
13:49:24.749 [main] INFO  resources.Log - -----Sucessfully Entered the PREVIEW PAGE--------
13:49:24.761 [main] INFO  resources.Log - Scrolling the Page to Down till the BUtton is visible
13:49:24.861 [main] INFO  resources.Log - Clicked on Submit Button
13:49:25.901 [main] INFO  resources.Log - ----Successfully Confirm PopUP is Displayed-------
13:49:25.902 [main] INFO  resources.Log - XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX
13:49:25.902 [main] INFO  resources.Log - X
13:49:25.902 [main] INFO  resources.Log - X
13:49:25.902 [main] INFO  resources.Log - X
13:49:25.902 [main] INFO  resources.Log - X
13:49:25.903 [main] INFO  resources.Log - Listener OnTestStart method clickonConfirmButton
13:49:25.903 [main] INFO  resources.Log - ****************************************************************************************
13:49:25.903 [main] INFO  resources.Log - ****************************************************************************************
13:49:25.903 [main] INFO  resources.Log - $$$$$$$$$$$$$$$$$$$$$                 clickonConfirmButton       $$$$$$$$$$$$$$$$$$$$$$$$$
13:49:25.903 [main] INFO  resources.Log - ****************************************************************************************
13:49:25.903 [main] INFO  resources.Log - ****************************************************************************************
13:49:25.904 [main] INFO  resources.Log - Reading the Property file
13:49:25.904 [main] INFO  resources.Log - The Value of the DashboardURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/dashboard
13:49:26.244 [main] INFO  resources.Log - Entering Dashboard Page
13:49:26.775 [main] INFO  resources.Log - scrolled Down
13:49:26.901 [main] INFO  resources.Log - clicked on Click Here Button
13:49:26.918 [main] INFO  resources.Log - Reading the Property file
13:49:26.919 [main] INFO  resources.Log - The Value of the WhatsappBotDetailsPage Fetched from the Properties: https://stagingpartners.dotgo.com/developer/create-bot/whatsapp-bot-details
13:49:26.919 [main] INFO  resources.Log - ----Successfully Redirected to WhatsAppBotDetail Page
13:49:26.920 [main] INFO  resources.Log - Reading the Property file
13:49:26.920 [main] INFO  resources.Log - The Value of the WhatsappBotName Fetched from the Properties: TestWhatsappBOT
13:49:26.988 [main] INFO  resources.Log - Enter the BOt Name
13:49:26.988 [main] INFO  resources.Log - Reading the Property file
13:49:26.988 [main] INFO  resources.Log - The Value of the WhatsappBotBrandName Fetched from the Properties: TestWhatsappBrand
13:49:27.115 [main] INFO  resources.Log - Enter the Brand Name
13:49:27.116 [main] INFO  resources.Log - Reading the Property file
13:49:27.116 [main] INFO  resources.Log - The Value of the WhatsappBotBrandWebsite Fetched from the Properties: https://stagingpartners2.dotgo.com/
13:49:27.198 [main] INFO  resources.Log - Enter the WhatsappBotBrandWebsite URL
13:49:27.315 [main] INFO  resources.Log - Clicked on UPload BOT logo
13:49:27.354 [main] INFO  resources.Log - Added Image for the Bot LOGO
13:49:27.712 [main] INFO  resources.Log - Cropped Image to the 224 pixels Wide x 224 pixels Tall
13:49:27.750 [main] INFO  resources.Log - Clicked on select Button
13:49:27.792 [main] INFO  resources.Log - Uploaded Screeshot
13:49:29.792 [main] INFO  resources.Log - Reading the Property file
13:49:29.792 [main] INFO  resources.Log - The Value of the WhatsappBotShortDesc Fetched from the Properties: navigates to the specified website URL.
13:49:29.867 [main] INFO  resources.Log - Entered Short Description
13:49:29.868 [main] INFO  resources.Log - Reading the Property file
13:49:29.868 [main] INFO  resources.Log - The Value of the WhatsappBotLongDesc Fetched from the Properties: navigates to the specified website URL. Once the website loads, the browser window is vertically scrolled down by 350 pixels.
13:49:30.053 [main] INFO  resources.Log - Entered Long Description
13:49:30.054 [main] INFO  resources.Log - Reading the Property file
13:49:30.054 [main] INFO  resources.Log - The Value of the WhatsappBotWebsiteURL Fetched from the Properties: https://www.browserstack.com
13:49:30.106 [main] INFO  resources.Log - Entered WhatsappBotWEbsite URL
13:49:30.106 [main] INFO  resources.Log - Reading the Property file
13:49:30.106 [main] INFO  resources.Log - The Value of the WhatsappBotDevelopedBy Fetched from the Properties: Automation
13:49:30.178 [main] INFO  resources.Log - Entered the WhatsappBot Developed BY
13:49:30.179 [main] INFO  resources.Log - Reading the Property file
13:49:30.180 [main] INFO  resources.Log - The Value of the WhatsappBotSupportEmail Fetched from the Properties: Test@gamil.com
13:49:30.243 [main] INFO  resources.Log - Entered WhatsappBot Support Email
13:49:30.321 [main] INFO  resources.Log - Selected country code as India
13:49:30.321 [main] INFO  resources.Log - Reading the Property file
13:49:30.321 [main] INFO  resources.Log - The Value of the WhatsappBotPhNumber Fetched from the Properties: 8147573441
13:49:30.424 [main] INFO  resources.Log - Entered Whatsapp Phone NUmber
13:49:30.425 [main] INFO  resources.Log - Reading the Property file
13:49:30.425 [main] INFO  resources.Log - The Value of the WhatsappBotlaunchDate Fetched from the Properties: 19/10/2022
13:49:30.486 [main] INFO  resources.Log - Entered WhatsappBOt lanuch Date
13:49:30.486 [main] INFO  resources.Log - Reading the Property file
13:49:30.486 [main] INFO  resources.Log - The Value of the WhatsappBotTermsofURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer-tos
13:49:30.576 [main] INFO  resources.Log - Entered Whatsapp Terms of URL
13:49:30.576 [main] INFO  resources.Log - Reading the Property file
13:49:30.576 [main] INFO  resources.Log - The Value of the WhatsappBotPrivacypolicy Fetched from the Properties: https://stagingpartners.dotgo.com/developer-pp
13:49:30.658 [main] INFO  resources.Log - Entered privacy policy
13:49:30.738 [main] INFO  resources.Log - Clicked on Next Button
13:49:30.768 [main] INFO  resources.Log - -----Sucessfully Entered the PREVIEW PAGE--------
13:49:30.788 [main] INFO  resources.Log - Scrolling the Page to Down till the BUtton is visible
13:49:30.839 [main] INFO  resources.Log - Clicked on Submit Button
13:49:31.878 [main] INFO  resources.Log - ----Successfully Confirm PopUP is Displayed-------
13:49:32.012 [main] INFO  resources.Log - Clicked on Confirm Button
13:49:32.012 [main] INFO  resources.Log - ---Successfully PopUP is displayed with Dashboard Button in it-------
13:49:32.838 [main] INFO  resources.Log - Clicked on Dashboard Button
13:49:32.847 [main] INFO  resources.Log - Reading the Property file
13:49:32.847 [main] INFO  resources.Log - The Value of the DashboardURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/dashboard
13:49:32.847 [main] INFO  resources.Log - Successfully Redirected to Dashboard Page
13:49:34.382 [main] INFO  resources.Log - Reading the Property file
13:49:34.382 [main] INFO  resources.Log - The Value of the WhatsappBotName Fetched from the Properties: TestWhatsappBOT
13:49:34.404 [main] INFO  resources.Log - Reading the Property file
13:49:34.404 [main] INFO  resources.Log - The Value of the WhatsappBotName Fetched from the Properties: TestWhatsappBOT
13:49:34.417 [main] INFO  resources.Log - -----Successfully TestWhatsappBOT BOT Status is Submitted-------
13:49:34.417 [main] INFO  resources.Log - XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX
13:49:34.417 [main] INFO  resources.Log - X
13:49:34.417 [main] INFO  resources.Log - X
13:49:34.417 [main] INFO  resources.Log - X
13:49:34.417 [main] INFO  resources.Log - X
13:49:34.418 [main] INFO  resources.Log - Listener OnTestStart method createWhatsAppBotButton
13:49:34.418 [main] INFO  resources.Log - ****************************************************************************************
13:49:34.418 [main] INFO  resources.Log - ****************************************************************************************
13:49:34.418 [main] INFO  resources.Log - $$$$$$$$$$$$$$$$$$$$$                 createWhatsAppBotButton       $$$$$$$$$$$$$$$$$$$$$$$$$
13:49:34.418 [main] INFO  resources.Log - ****************************************************************************************
13:49:34.418 [main] INFO  resources.Log - ****************************************************************************************
13:49:34.418 [main] INFO  resources.Log - Reading the Property file
13:49:34.418 [main] INFO  resources.Log - The Value of the DashboardURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/dashboard
13:49:34.948 [main] INFO  resources.Log - Entering Dashboard Page
13:49:35.558 [main] INFO  resources.Log - scrolled Down
13:49:35.705 [main] INFO  resources.Log - clicked on Click Here Button
13:49:35.714 [main] INFO  resources.Log - Reading the Property file
13:49:35.714 [main] INFO  resources.Log - The Value of the WhatsappBotDetailsPage Fetched from the Properties: https://stagingpartners.dotgo.com/developer/create-bot/whatsapp-bot-details
13:49:35.714 [main] INFO  resources.Log - ----Successfully Redirected to WhatsAppBotDetail Page
13:49:35.714 [main] INFO  resources.Log - XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX
13:49:35.714 [main] INFO  resources.Log - X
13:49:35.714 [main] INFO  resources.Log - X
13:49:35.714 [main] INFO  resources.Log - X
13:49:35.715 [main] INFO  resources.Log - X
13:49:35.715 [main] INFO  resources.Log - Listener OnTestStart method whatsappPreviewPage
13:49:35.715 [main] INFO  resources.Log - ****************************************************************************************
13:49:35.715 [main] INFO  resources.Log - ****************************************************************************************
13:49:35.715 [main] INFO  resources.Log - $$$$$$$$$$$$$$$$$$$$$                 whatsappPreviewPage       $$$$$$$$$$$$$$$$$$$$$$$$$
13:49:35.715 [main] INFO  resources.Log - ****************************************************************************************
13:49:35.715 [main] INFO  resources.Log - ****************************************************************************************
13:49:35.715 [main] INFO  resources.Log - Reading the Property file
13:49:35.716 [main] INFO  resources.Log - The Value of the DashboardURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/dashboard
13:49:36.006 [main] INFO  resources.Log - Entering Dashboard Page
13:49:36.994 [main] INFO  resources.Log - scrolled Down
13:49:37.114 [main] INFO  resources.Log - clicked on Click Here Button
13:49:37.117 [main] INFO  resources.Log - Reading the Property file
13:49:37.118 [main] INFO  resources.Log - The Value of the WhatsappBotDetailsPage Fetched from the Properties: https://stagingpartners.dotgo.com/developer/create-bot/whatsapp-bot-details
13:49:37.118 [main] INFO  resources.Log - ----Successfully Redirected to WhatsAppBotDetail Page
13:49:37.118 [main] INFO  resources.Log - Reading the Property file
13:49:37.118 [main] INFO  resources.Log - The Value of the WhatsappBotName Fetched from the Properties: TestWhatsappBOT
13:49:37.200 [main] INFO  resources.Log - Enter the BOt Name
13:49:37.201 [main] INFO  resources.Log - Reading the Property file
13:49:37.201 [main] INFO  resources.Log - The Value of the WhatsappBotBrandName Fetched from the Properties: TestWhatsappBrand
13:49:37.392 [main] INFO  resources.Log - Enter the Brand Name
13:49:37.393 [main] INFO  resources.Log - Reading the Property file
13:49:37.393 [main] INFO  resources.Log - The Value of the WhatsappBotBrandWebsite Fetched from the Properties: https://stagingpartners2.dotgo.com/
13:49:37.487 [main] INFO  resources.Log - Enter the WhatsappBotBrandWebsite URL
13:49:37.552 [main] INFO  resources.Log - Clicked on UPload BOT logo
13:49:37.612 [main] INFO  resources.Log - Added Image for the Bot LOGO
13:49:37.971 [main] INFO  resources.Log - Cropped Image to the 224 pixels Wide x 224 pixels Tall
13:49:38.054 [main] INFO  resources.Log - Clicked on select Button
13:49:38.109 [main] INFO  resources.Log - Uploaded Screeshot
13:49:40.109 [main] INFO  resources.Log - Reading the Property file
13:49:40.109 [main] INFO  resources.Log - The Value of the WhatsappBotShortDesc Fetched from the Properties: navigates to the specified website URL.
13:49:40.254 [main] INFO  resources.Log - Entered Short Description
13:49:40.254 [main] INFO  resources.Log - Reading the Property file
13:49:40.254 [main] INFO  resources.Log - The Value of the WhatsappBotLongDesc Fetched from the Properties: navigates to the specified website URL. Once the website loads, the browser window is vertically scrolled down by 350 pixels.
13:49:40.395 [main] INFO  resources.Log - Entered Long Description
13:49:40.395 [main] INFO  resources.Log - Reading the Property file
13:49:40.395 [main] INFO  resources.Log - The Value of the WhatsappBotWebsiteURL Fetched from the Properties: https://www.browserstack.com
13:49:40.470 [main] INFO  resources.Log - Entered WhatsappBotWEbsite URL
13:49:40.470 [main] INFO  resources.Log - Reading the Property file
13:49:40.470 [main] INFO  resources.Log - The Value of the WhatsappBotDevelopedBy Fetched from the Properties: Automation
13:49:40.562 [main] INFO  resources.Log - Entered the WhatsappBot Developed BY
13:49:40.562 [main] INFO  resources.Log - Reading the Property file
13:49:40.562 [main] INFO  resources.Log - The Value of the WhatsappBotSupportEmail Fetched from the Properties: Test@gamil.com
13:49:40.627 [main] INFO  resources.Log - Entered WhatsappBot Support Email
13:49:40.674 [main] INFO  resources.Log - Selected country code as India
13:49:40.674 [main] INFO  resources.Log - Reading the Property file
13:49:40.674 [main] INFO  resources.Log - The Value of the WhatsappBotPhNumber Fetched from the Properties: 8147573441
13:49:40.779 [main] INFO  resources.Log - Entered Whatsapp Phone NUmber
13:49:40.779 [main] INFO  resources.Log - Reading the Property file
13:49:40.779 [main] INFO  resources.Log - The Value of the WhatsappBotlaunchDate Fetched from the Properties: 19/10/2022
13:49:40.869 [main] INFO  resources.Log - Entered WhatsappBOt lanuch Date
13:49:40.869 [main] INFO  resources.Log - Reading the Property file
13:49:40.869 [main] INFO  resources.Log - The Value of the WhatsappBotTermsofURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer-tos
13:49:41.006 [main] INFO  resources.Log - Entered Whatsapp Terms of URL
13:49:41.006 [main] INFO  resources.Log - Reading the Property file
13:49:41.007 [main] INFO  resources.Log - The Value of the WhatsappBotPrivacypolicy Fetched from the Properties: https://stagingpartners.dotgo.com/developer-pp
13:49:41.103 [main] INFO  resources.Log - Entered privacy policy
13:49:41.184 [main] INFO  resources.Log - Clicked on Next Button
13:49:41.204 [main] INFO  resources.Log - Taking Screeshot of the webpage
13:49:41.444 [main] INFO  resources.Log - Adding the Screenshot to the Reports
